旭浜駅,あさひはまえき
芦川駅,あしかわえき
赤岩駅,あかいわえき
浅岸駅,あさぎしえき
愛知駅,あいちえき
愛岐駅,あいぎえき
旭ヶ岡駅,あさひがおかえき
敦盛塚駅,あつもりづかえき
安芸山本駅,あきやまもとえき
太田川橋東詰停留場,おおたがわばしひがしづめていりゅうじょう
阿波市場駅,あわいちばえき
金磯駅,かないそえき
入江町停留場,いりえまちていりゅうじょう
起行駅,きぎょうえき
猪苗代湖畔駅,いなわしろこはんえき
菊水山駅,きくすいやまえき
堂平駅,どうだいらえき
水根駅,みずねえき
愛冠駅,あいかっぷえき
愛国駅,あいこくえき
明石町駅,あかしちょうえき
阿寒駅,あかんえき
浅茅野駅,あさじのえき
旭駅,あさひえき
朝日駅,あさひえき
旭岡駅,あさひおかえき
旭ヶ丘駅,あさひがおかえき
旭通仮乗降場,あさひどおりかりじょうこうじょう
旭町駅,あさひまちえき
芦野駅,あしのえき
足寄駅,あしょろえき
阿分駅,あふんえき
以久科駅,いくしなえき
幾春別駅,いくしゅんべつえき
石狩追分駅,いしかりおいわけえき
石狩橋本駅,いしかりはしもとえき
石坂駅,いしざかえき
泉川駅,いずみかわえき
一ノ橋駅,いちのはしえき
一本松駅,いっぽんまつえき
一本松駅,いっぽんまつえき
渭ノ津駅,いのつえき
今金駅,いまがねえき
入鹿別駅,いるかさわえき
色内仮乗降場,いろないかりじょうこうじょう
岩知志駅,いわちしえき
岩内駅,いわないえき
宇遠内駅,うえんないえき
雨煙別駅,うえんべつえき
上平駅,うえひらえき
臼谷駅,うすやえき
鶉駅,うずらえき
歌越駅,うたこしえき
歌志内駅,うたしないえき
宇津駅,うつえき
宇津内仮乗降場,うつないかりじょうこうじょう
卯原内駅,うばらないえき
宇摩駅,うまえき
瓜幕駅,うりまくえき
雨竜駅,うりゅうえき
営林署前駅,えいりんしょまええき
江差駅,えさしえき
遠別駅,えんべつえき
遠幌駅,えんほろえき
大椴駅,おおとどえき
大野新道停留場,おおのしんどうていりゅうじょう
大曲仮乗降場,おおまがりかりじょうこうじょう
大曲仮乗降場,おおまがりかりじょうこうじょう
大森駅,おおもりえき
大谷地駅,おおやちえき
大夕張駅,おおゆうばりえき
大夕張炭山駅,おおゆうばりたんざんえき
岡女堂駅,おかめどうえき
興津仮乗降場,おこつかりじょうこうじょう
奥東仮乗降場,おくひがしかりじょうこうじょう
奥行臼駅,おくゆきうすえき
置戸駅,おけとえき
興部駅,おこっぺえき
渡島吉岡駅,おしまよしおかえき
渡島大沢駅,おしまおおさわえき
渡島知内駅,おしましりうちえき
渡島鶴岡駅,おしまつるおかえき
渡島福島駅,おしまふくしまえき
音更駅,おとふけえき
鬼鹿駅,おにしかえき
鬼志別駅,おにしべつえき
小平駅,おびらえき
雄武駅,おむえき
雄武共栄仮乗降場,おむきょうえいかりじょうこうじょう
大誉地駅,およちえき
及部駅,およべえき
重内駅,おもないえき
恩根駅,おんねえき
開栄駅,かいえいえき
海岸町停留場,かいがんちょうていりゅうじょう
開盛駅,かいせいえき
開拓仮乗降場,かいたくかりじょうこうじょう
楓駅,かえでえき
角田駅,かくたえき
歌神駅,かしんえき
春日駅,かすがえき
ガス会社前停留場,がすがいしゃまえていりゅうじょう
活汲駅,かっくみえき
桂岡駅,かつらおかえき
樺岡駅,かばおかえき
上厚真駅,かみあつまえき
上音威子府駅,かみおといねっぷえき
上江別駅,かみえべつえき
神丘駅,かみおかえき
上興部駅,かみおこっぺえき
上駒駅,かみこまえき
上更別駅,かみさらべつえき
上志文駅,かみしぶんえき
上士別駅,かみしべつえき
上士幌駅,かみしほろえき
上春別駅,かみしゅんべつえき
上渚滑駅,かみしょこつえき
上白糠駅,かみしらぬかえき
上砂川駅,かみすながわえき
上多度志駅,かみたどしえき
上茶路駅,かみちゃろえき
上常呂駅,かみところえき
上利別駅,かみとしべつえき
上徳富駅,かみとっぷえき
上頓別駅,かみとんべつえき
上長和駅,かみながわえき
上名寄駅,かみなよろえき
上ノ国駅,かみのくにえき
上美幌駅,かみびほろ
上幌加内駅,かみほろかないえき
上武佐駅,かみむさえき
上湧別駅,かみゆうべつえき
神威駅,かもいえき
亀田町停留場,かめだちょうていりゅうじょう
萱野駅,かやのえき
我路駅,がろえき
川上駅,かわかみえき
川北駅,かわきたえき
川西駅,かわにしえき
干拓仮乗降場,かんたくかりじょうこうじょう
寒別駅,かんべつえき
北愛国駅,きたあいこくえき
北遠軽駅,きたえんがるえき
北岡駅,きたおかえき
北上徳富駅,きたかみとっぷえき
北川口駅,きたかわぐちえき
北笹川駅,きたささかわえき
北鈴川駅,きたすずかわえき
北住吉駅,きたすみよしえき
北園駅,きたぞのえき
北長沼駅,きたながぬまえき
北檜山駅,きたひやまえき
北埠頭駅,きたふとうえき
北平和駅,きたへいわえき
北松田駅,きたまつだえき
北見相生駅,きたみあいおいえき
北見枝幸駅,きたみえさしえき
北見共立駅,きたみきょうりつえき
北見滝ノ上駅,きたみたきのうええき
北見富丘駅,きたみとみおかえき
北見平和駅,きたみへいわえき
北母子里駅,きたもしりえき
北湯沢駅,きたゆざわえき
木野駅,きのえき
岐阜橋駅,ぎふはしえき
喜茂別駅,きもべつえき
共栄駅,きょうえいえき
共栄仮乗降場,きょうえいかりじょうこうじょう
京極駅,きょうごくえき
共進駅,きょうしんえき
共成駅,きょうせいえき
協和駅,きょうわえき
屈足駅,くったりえき
国富駅,くにとみえき
久保内駅,くぼないえき
熊牛駅,くまうしえき
黒石平駅,くろいしだいらえき
訓子府駅,くんねっぷえき
薫別駅,くんべつえき
恵北駅,けいほくえき
啓明仮乗降場,けいめいかりじょうこうじょう
計根別駅,けねべつえき
計呂地駅,けろちえき
小石駅,こいしえき
礦業所前駅,こうぎょうしょまええき
